,index,question,topic
27,27,In this alternating repetition series  the random number 21 is interpolated every other number into an otherwise simple addition series that increases by 2  beginning with the number 9,Number representations and computer  arithmetic
28,28,How    do you convert a decimal number to its hexadecimal equivalentGive a C    code to do the same,Number representations and computer  arithmetic
29,29,In a number system   represents 1 and  represents 0  when shifted to left  will be multiplied by 2 So 4 is represented as ,Number representations and computer  arithmetic
30,30,In C learn for  Programming ARRAY  SEARCH  SEQUENCE NUMBERS  PERFECT NUMBBERS  FIBONOCCI etc  Quries on STRINGS  MACRO especially,Number representations and computer  arithmetic
31,31,In C learn for  Programming ARRAY SEARCH SEQUENCE NUMBERS PERFECT   NUMBBERS FIBONOCCI etc Quries on STRINGS  MACRO especially,Number representations and computer  arithmetic
32,32,If you dont belong to Computer Science you will get questions based on your branch,Number representations and computer  arithmetic
33,33,What   is the max decimal number that can be accomodated in a byte,Number representations and computer  arithmetic
34,34,In Communications PCM  Quantization  how to solve quantization error  why is modulation required  Companding In computer networks they asked about PING  ICMP  TCP UDP In Microprocessor  mainly 8086  in detail with programming  and find the error in the program  or the amount of memory allocated Instruction Queue of 8086  memory size required to store 8bit  8bit multiplication Expect grilling in C programming during interview Even C,Number representations and computer  arithmetic
35,35,Which is best form of representation in Q,Number representations and computer  arithmetic
36,36,In which class we actually works in computer network A  B  C  D or E Ans B,Number representations and computer  arithmetic
37,37,In section B general computer awareness,Number representations and computer  arithmetic
38,38,What is the maximum number of halfpint bottles of cream that can be filled with a 4gallon can of cream2 pt1 qt and 4 qt1 gal,Number representations and computer  arithmetic
39,39,What is the maximum number of halfpint bottles of cream that can be filled with a 4gallon can of cream2 pt1 qt and 4 qt1 gal,Number representations and computer  arithmetic
40,40,In C programming a expression contains relational operators  assignment operators and arithmetic operators if parentheses is absent then execution follows,Number representations and computer  arithmetic
41,41,When the network has 10 nodes and 17 branches then the number of different node pair voltages would be ,Number representations and computer  arithmetic
42,42,In logical reasoning the questions were easy The topics that were asked were number series  logical deductions  blood relations  paper folding and cutting  coding decoding  symbols and notations,Number representations and computer  arithmetic
43,43,If you work hard you will get the results for sure and dont tensed on seeing a large number of people  just give your best and all will go smooth,Number representations and computer  arithmetic
44,44,When talking about my concept  I takes only about statistics and examples which gave unique identity And one more thing grabbing more number of chances also very important Be ready to grab chance in every moment,Number representations and computer  arithmetic
45,45,how many number of cubes are uncoloured,Number representations and computer  arithmetic
46,46,In Technical 1 they asked very basic questions on computer programming like what is inheritance  what is data structure Then they asked me my preferable computer language  I told Java I was from CSE background,Number representations and computer  arithmetic
47,47,If anybody gets a chance to attend the placement process of cisco  then make sure that you read digital electronics  digital communication  microprocessor 8085   C  C  Data structures for ECE students its not mandatory   OS  computer networks,Number representations and computer  arithmetic
48,48,In a certain code  the symbol for 0 is  and that for 1 is  Numbers greater than 1 are to be written only by using the two symbols given above The value of symbol for 1 doubles everytime it shifts one place to the left eg 4 is written as  3 as  ,Number representations and computer  arithmetic
49,49,In   a normalized floating point representation  mantissa is represented using 24   bits and exponent with 8 bits using signed representation What is range ,Number representations and computer  arithmetic
50,50,Give   the equivalent Gray code representation of AC2H,Number representations and computer  arithmetic
51,51,What   is the memory space required if two unsigned 8 bit numbers are multiplied ,Number representations and computer  arithmetic
52,52,In   a tertiary tree  which has three childs for every node  if the number of   internal nodes are N  then the total number of leaf nodes are,Number representations and computer  arithmetic
53,53,What is the maximum number of halfpint bottles of cream that can be filled with a 4gallon can of cream 2 pt1 qt and 4 qt1 gal A16 B24 C30 D64,Number representations and computer  arithmetic
54,54,If the number of leaves in a binary   tree are N  then the total number of internal nodesAssume complete binary tree,Number representations and computer  arithmetic
55,55,If two ausigned 8 bit numbers are multiplied what is the memory space required,Number representations and computer  arithmetic
56,56,If the logical memory of 8 X 1024 is mapped into 32 frames  then the number of bits for the logical address ,Number representations and computer  arithmetic
57,57,In ternary number representation  numbers are represented as 0 1 1 Here 1 is represented as  1 bar Then how is 3529 represented,Number representations and computer  arithmetic
58,58,in a complete binary tree if the number of levels r 4 then the number of,Number representations and computer  arithmetic
59,59,in a kway search tree with N keys  the number of nodeno of leaves,Number representations and computer  arithmetic
60,60,In the last section there was passageYou should conclude that one in the specified 10 min It would be better to prepare a computer related topics like client server  internet etc,Number representations and computer  arithmetic
61,61,Which one is ur favourite subject U mentioned two subjects in ur CVINDUSTRIAL INSTRUMENTATION  COMPUTER COMMUNICATION  NETWORKING which are different in nature Why u choose these subjectsI told that as per the softwere companies r in less frequent in campussing for final year students so I have to make a skill in our departmental subject  I m also preparing for offcampussing interviews,Number representations and computer  arithmetic
62,62,Write down a factorial program Will it compute,Number representations and computer  arithmetic
63,63,Write down a factorial program Will it compute 2000,Number representations and computer  arithmetic
64,64,In written test there were about 65 40 Aptitude  25 Computer Related questions and the time limit was 60 minutes This test is MANUAL TEST and comprised of Psycometric test  aptitude  and basic computer related questions There was 12 negative marking on Aptitude   no negative marking on Computer Related questions,Number representations and computer  arithmetic
65,65,In written test there were about 122 questions and the time limit was 55 minutes This test is online test and comprised of Psycometric test  aptitude  and basic computer related questions Very easy test Just reflect your self for psycometric questions,Number representations and computer  arithmetic
66,66,How many obtuse triangle can be made when one of the side of the triangle is taken between the 1st natural number and 8,Number representations and computer  arithmetic
67,67,In Coimbatore only limited number of companies only available,Number representations and computer  arithmetic
68,68,What is the maximum number of times that  socks have to be taken out so that atleast 1 blue pair,Number representations and computer  arithmetic
69,69,What is the maximum number of times that socks have to be taken out so that atleast 1 blue pair is found,Number representations and computer  arithmetic
70,70,When you enter inside interview room you have to sit in front of board members One will first demand for your project report and one ask about your interesting subject of your discipline Then different board member ask question about your interesting subjects If you are answering right way then they can take you in brief to map your abilities Then member who has taken your project report will ask about your project work I am highlighting questionnaires below which I have faced in interview I belong to CSE so I have told Data Structure  Microprocessor and Computer Networks from my interesting subjects,Number representations and computer  arithmetic
71,71,How the performance of a super computer is measured in tera flops,Number representations and computer  arithmetic
72,72,If a 28GHz processor is given  calculate the number of floating point calculations that it can do,Number representations and computer  arithmetic
73,73,How would you identify the computer has TCP connection,Number representations and computer  arithmetic
74,74,In technical interview they asked simlpe questions from all subjects liketelecomm switching transitors  diode  microwave  duct propogation  scattering  some computer programmingvery easy,Number representations and computer  arithmetic
75,75,In each question below is given a statement followed by two assumptions numbered I and II An assumption is something supposed or taken for granted You have to consider the statement and the following assumptions and decide which of the assumptions is implicit in the statement Give answer,Number representations and computer  arithmetic
76,76,In each question below are given three statements followed by three conclusions  which are numbered I  II and III Assuming that all the given statements are True  decide which of the given conclusions logically follows from the given statements,Number representations and computer  arithmetic
77,77,when can a computer act as server and client in LAN WANpeerpeerclient server i wrote PtoP,Number representations and computer  arithmetic
78,78,In questions like this  they are not really interested in the answer you   give  but how did you get to it Stating your assumptions as clearly as   possible helps Also  you may want to get to your answer using two or   rationales In this case  you may want to guess the number of pianos by the   number of house holds in the world and the ratio of those with enough money   to own a piano  etc,Number representations and computer  arithmetic
79,79,In a game exactly 6 inverted cups stand side by side in a straight line  each exactly has 1 ball hidden under it The cups are numbered consecutively 1 thro 6 Each of the balls is painted a single solid color The colors of the balls are green  magenta  orange  purple  red  yellow The balls have been hidden under following conditions,Number representations and computer  arithmetic
80,80,In a game exactly 6 inverted cups stand side by side ina straight line  each exactly has 1 ball hidden under it The cups are numbered consecutively 1 thro 6 Each of the balls is painted a single solid color The colors of the balls are green  magenta  orange  purple red  yellow The balls have been hidden under following conditions,Number representations and computer  arithmetic
81,81,In the area of Computer Science  Engineering  there were 100 questions from the subject  40 from Apptitude technical  20 from English,Number representations and computer  arithmetic
82,82,In Aptitude they will cover time and speed  work  distance  mostly number divisibility  average  percentage  profit and loss  permutation and combinations,Number representations and computer  arithmetic
83,83,Write a program to reverse a string  reverse a number  to find nth prime no   how does c work  live example of polymorphism etc They mainly check your communication  confidence and basic domain knowledge,Number representations and computer  arithmetic
84,84,If you write cloud computing in resume they definitely ask question on it,Number representations and computer  arithmetic
85,85,if u r from computer brach  see previous Q of hexaware  most of the Q are repeated,Number representations and computer  arithmetic
86,86,In our college  141 members are attended GD but only 26 members are short listed for the interview process All this is done on 8th nov 2006 On next day interviews are conducted Be prepare for both technical and HR interviewRemember ur written test code and number  he may ask,Number representations and computer  arithmetic
87,87,In a seven day long miniconference organised in memory of Paul Erdos  a close group of eight mathematicians  call them A B C D E F G and H  discussed some research problems At the beginning of the conference  A was the only participant who has an infinite Erdos number Nobody had an Erdos number less than that of F,Number representations and computer  arithmetic
88,88,Which are the different computer architectures ,Number representations and computer  arithmetic
89,89,Which are the different computer architecture,Number representations and computer  arithmetic
90,90,In written exam  totally 50 questions In that 10 questions from aptitude quants profit and loss percentages and number system  reasoning data arrangement  data interpretation and 40 questions from technical networking  computer basics  OS  MS Office shortcuts  MS outlook,Number representations and computer  arithmetic
91,91,In technical interview  they asked about computer networks  project and internship  workshops if any We have to brush up with some basics in core subjects,Number representations and computer  arithmetic
92,92,why science why engineering why computer science about relocation,Number representations and computer  arithmetic
93,93,in 32 bit representation  the range of numbers in 2s complement form,Number representations and computer  arithmetic
94,94,What is the binary representation of 416785,Number representations and computer  arithmetic
95,95,when an ip address is not in the computer adresss resolution file what does It do with that packet,Number representations and computer  arithmetic
96,96,If you are going for IBM GBS interview prep from previous year questions and RS Aggarwal for number series and for quant Simply remember all the basic formulas and previous year questions for English assessment round search on google the previous year question and go through all of them IBM repeat the English question every time,Number representations and computer  arithmetic
97,97,In that day we got the result and about 250 were selected for further round I am also one of them they told us to come next day for further round Next day from the morning I was waiting for my number for 2nd round It comes at around 400pm  there was a beautiful young lady I was very nervous but any how I controlled myself,Number representations and computer  arithmetic
98,98,When I reached then I saw that lot of candidate who called for this round are standing in line and waiting for their verification After 1 hour candidate are called for interview I just closed my eyes and started praying Every number he was calling and my heart beat was increasing to the higher level but I tried to live with confident because I already placed in MAVENIR SYSTEM So my advice is that Be CONFIDENT,Number representations and computer  arithmetic
99,99,What is the next number of the following sequences,Number representations and computer  arithmetic
100,100,If total employeesx  Number of Men06x  Women04x,Number representations and computer  arithmetic
101,101,How can u swap two numbers without using a temporary variable,Number representations and computer  arithmetic
102,102,What is the usual number of bits transmitted simultaneously in parallel data transmission used by microcomputers,Number representations and computer  arithmetic
103,103,If you clear this round your tr and hr will be on next day In technical round they basically focus on your communication skills My skill is also not good but its enough that interviewer understands what I say to him So if your communication is average also then its ok Prepare your project questions  subject of interest One question which everyone wants to know is is there any coding questions asked Yes but its very simple like swapping two numbers or fibonacci series  armstrong number etc,Number representations and computer  arithmetic
104,104,In Reasoning  there were 15 questions You really need to brush up your skills in topics like Data interpretation   data sufficiency  syllogism and number series to clear this section Level of questionsnot very easy  not too difficult Just relax your mind and start solving Indiabix would be enough Time limit for this section was 25 minutes But believe me  time constraint is not going to create any problem in this section,Number representations and computer  arithmetic
105,105,If you cleared the first round you will be called for interview Interview will be both HR  Technical Prepare your resume properly and honestly because questions will be asked upon that After that  he will discuss  about the Project and will ask some basic questions As I mentioned above  this year Infosys mainly focused upon Technical skills and my Interview was totally based on Technical Questions No Introduction direct Technical question but it varies from HR to HR Questions asked were based on Cloud Computing  IOT and SDLC Models Confidence will be the biggest weapon for you,Number representations and computer  arithmetic
106,106,In first Technical they ask basic from C  C  DBMS  Java depends on your area of interest Also  They ask to write some program and query like Fabes series  prime number and DBMS Query,Number representations and computer  arithmetic
107,107,How many numbers between 100 and 200 are odd  divisible by 3  but       not by 7,Number representations and computer  arithmetic
108,108,How many numbers between 100 and 200 are odd  divisible by 3  but not by 7,Number representations and computer  arithmetic
109,109,In the given series find the number which is wrong,Number representations and computer  arithmetic
110,110,In the following questions  select the number from the given options which follows the same relationship as shared between the first two numbers,Number representations and computer  arithmetic
111,111,In each of the following questions  there are four options The numbers  in these options  are alike in a certain manner Only one number does not fit in Choose the one which is different from the rest,Number representations and computer  arithmetic
112,112,In Aptitude they filter maximum numbers out of 900 students they selected only 23 members for next round  they give a resume format to be filled at site in that they ask personal details like name  mail id  address  qualification  papers presented and extracurricular activities then a blank sheet left at end of resume to write a paragraph not more than 300 words They gave spot topic for that Friends be sure that the given details are original and accurate concentrate more to fill those things it was very important thing in selection process then Technical  HR round was conducted that day afternoon itself,Number representations and computer  arithmetic
113,113,In interview they ask questions based on resume we filled they corrected the paragraph written while we are interviewed all questions based on our resume only So be careful that the filled things are well known and u are able to explain them if necessary I mentioned that I did paper presentation and a project in Java So they asked to explain about both I explained them then they asked basic questions from data structures and java I answered maximum number of questions,Number representations and computer  arithmetic
114,114,If a book paged from 1 and so on had 61 3s then the number of pages in that book____,Number representations and computer  arithmetic
115,115,Explain Human Computer Interaction this is a subject in our 4th sem,Number representations and computer  arithmetic
116,116,How many 4 digit numbers even have no repeted digits,Number representations and computer  arithmetic
117,117,What is the sum of the numbers from 1 to 1000,Number representations and computer  arithmetic
118,118,How can computer technology be integrated in an elevator system for a hundred story office building How do you optimize for availability How would variation of traffic over a typical work week or floor or time of day affect this,Number representations and computer  arithmetic
119,119,How can computer technology be integrated in an elevator   system for a hundred story office building How do you optimize for   availability,Number representations and computer  arithmetic
120,120,If you had to learn a new computer language  how would   you go about doing it,Number representations and computer  arithmetic
121,121,If you could gather all of the computer manufacturers in   the world together into one room and then tell them one thing that they   would be compelled to do  what would it be,Number representations and computer  arithmetic
122,122,In unmanaged environments the compiler and linker directly compile the source code in to native instructions that are targeted at a specific processor The disadvantage of this process is that each time you want to run your executable on a different platform you will have to recompile the code using a compiler and linker that will compile the code that is targeted at the specific hardware This means that each time you want your application to run on a different platform  you will have to ship the compiled instructions again and again As this leads to compiling and maintaining multiple versions of the same application  the companies try to create a more generalized compiled version in order to target most of the environments This process is known as the Lowest Common Denominator approach This leads to a more generalized program which is not optimized properly and does not take advantages of the underlying hardware infrastructure processor  cache  etc Because the CLR supplies one or more Just in Time Compiler for each computer architecture it supports  the same set of MSIL can be JITcompiled and run on any supported architecture,Number representations and computer  arithmetic
123,123,Give the condition for a number represented in this form to be positive,Number representations and computer  arithmetic
124,124,which number it is The condition is the algorithm you choose should be,Number representations and computer  arithmetic
125,125,How can computer technology be integrated in an elevator system for a hundred story office building How do you optimize for availability,Number representations and computer  arithmetic
126,126,If you had to learn a new computer language  how would you go about doing it,Number representations and computer  arithmetic
127,127,If you could gather all of the computer manufacturers in the world together into one room and then tell them one thing that they would be compelled to do  what would it be,Number representations and computer  arithmetic
128,128,In technical round  I was asked about the properties of OOPS I was given a program in which you have to print the characters of a string whose number of occurrence is more than 2 SQL query for second highest salary from an employee table was also asked Then I tried to convince the interviewer that I am very much interested in joining Mindtree He was very frank and told me about some of the projects they are working on He asked about my strength and weakness I asked about his journey in Mindtree and I also asked him to tell me how my interview went  in reply to which he said it went pretty well Everyone was eligible for the HR round In HR interview  he asked me about my family background  places in India where I had visited  best and worst thing about the college etc,Number representations and computer  arithmetic
129,129,In this round they were asking about your BTech projects and basic questions on C  C  Data Structure and JAVA Also they will ask you to write a complete program with output on any problem like factorial number using array  Matrix multiplication  linked list  Operator Overloading  Inheritance  etc So to crack this round you need to prepare well the basics as well some of important interview problems,Number representations and computer  arithmetic
130,130,In my experience arithmetic written is very tough bits but I covered little better,Number representations and computer  arithmetic
131,131,In this section  you had to repeat the sentence written on paper given to you IVR over the phone guide you to repeat the sentences with their number after the Beep This is very easy round take the pause where its needed You can easily do it if you are having a habit of reading English Paper with instructions is given before so do some practice before giving this section,Number representations and computer  arithmetic
132,132,In versant test he gave some paper and asked to call to particular number and have to do as per the instructions given in the paper,Number representations and computer  arithmetic
133,133,How to crack Part A This is perhaps the most easiest part of the Test An automated sound will instruct us to read a particular number  the key is we should immediately respond and should speak loudly and clearly But dont read fast By doing this we can bag max marks,Number representations and computer  arithmetic
134,134,In first slot you need to read out the sentence when computer utters sentence number,Number representations and computer  arithmetic
135,135,In this Part Few Question came From ProfitLoss  Speed Distance  Time  Number System  Percentage  Few Question were From Logarithm,Number representations and computer  arithmetic
136,136,In the first round they have asked from C  Java  C  Data Structure and DBMS The questions are conceptual and if you have the concept clear then it will be easy for you The questions are like representation of tree or linked list using C  SQL query like joining  complexity analysis of a C program  any C program  method overloading from java  use of super keyword in java  why we use Btree  string length calculation using pointer  etc,Number representations and computer  arithmetic
137,137,How to crack Part A This is perhaps the most easiest part of the Test An automated sound will instruct us to read a particular number  the key is we should immediately respond and should speak loudly and clearly But dont read fast By doing this we can bag max marks,Number representations and computer  arithmetic
138,138,In the technical section  questions from Microprocessors  Operating Systems  Computer Networks etc are asked All questions are multiplechoice type,Number representations and computer  arithmetic
139,139,In the technical section  questions from Microprocessors  Operating Systems  Computer Networks etc are asked,Number representations and computer  arithmetic
140,140,In Computer concepts part  questions on LRU page replacement policy  semaphores  scheduling  cache memory Data structures etc,Number representations and computer  arithmetic
141,141,Where n is the tablespace number you get from SELECT TS  NAME FROM SYSTS,Number representations and computer  arithmetic
142,142,If content of dual is updated to some value computation takes place or not ,Number representations and computer  arithmetic
143,143,In this round I was asked mainly on my project  C write code for string concatenation  strcpy etc using pointers also I was asked to write a C code to set a particular bit the bit number to be taken from the input use left shift operator and about 8051 and basics of control systems and basics of AD DA converter  a question on Malloc and Calloc  one puzzle to test ur problem solving capability For me they had asked what is the angle between hour and minute Hand when the time is 315 and also they asked me to interchange two variables without using the third variable and it went for more than an hour finally they gave me 7 out of 10 which means that u can join the company but requires 1 month of training to pickup Any ways I cleared the first round,Number representations and computer  arithmetic
144,144,What are my interested areas mI said cloud computing  Big data and IoT  he asked me to explain Asked whether I have any other offers  I said yes then y I would prefer SAP I explained him  he asked me about my family  will I able to move to Bangalore He did not say I was selected but from his words I got that,Number representations and computer  arithmetic
145,145,When estimating smooth limits  both the number of LUWs is important and the average data volume per LUW As a rule  we recommend to bundle data usually documents already when writing to the DeltaQueue to keep number of LUWs small partly this can be set in the applications  eg in the Logistics Cockpit The data volume of a single LUW should not be considerably larger than 10 of the memory available to the work process for data extraction in a 32bit architecture with a memory volume of about 1GByte per work process  100 Mbytes per LUW should not be exceeded That limit is of rather small practical importance as well since a comparable limit already applies when writing to the DeltaQueue If the limit is observed  correct reading is guaranteed in most cases,Number representations and computer  arithmetic
146,146,If the number of LUWs cannot be reduced by bundling application transactions  you should at least make sure that the data are fetched from all connected BWs as quickly as possible But for other  BWspecific  reasons  the frequency should not be higher than one DeltaRequest per hour,Number representations and computer  arithmetic
147,147,In computer Basics data structure tree queue like best search method,Number representations and computer  arithmetic
148,148,If you are from Non IT branch  It is enough to have knowledge in c c os and all your core subjects But students from computer science background need to be thorough with all our subjects cse related,Number representations and computer  arithmetic
149,149,Write a program to print the prime numbers between 1 to 100 The code must be efficient,Number representations and computer  arithmetic
150,150,Write a C program to check prime number ,Number representations and computer  arithmetic
151,151,Write a C program where user will give imput of natural numbers and you have to print the sum of those numbers ,Number representations and computer  arithmetic
152,152,If you get through the first two rounds  85 you will be get selected if you have good communication skills When I attended the interview  as Im from a CSE background  he directly started asking me the technical questions Didnt even ask me to introduce myself He had thrown me a big question to answer like he asked me to say about the subjects starting from C language to Computer Graphics I started from C  Data structures  Java  Dbms  Computer networks  Operating systems  Theory of computations  Compiler design and Computer graphics saying about what are the topics present  functionality  uses etc He was well impressed by the way I answered He had thrown a puzzle on aptitude question which I was unable to answer But he explained me the logic later He asked few more questions on OS and Computer networks I almost answered all the questions Finally asked about joins in DBMS I explained He appreciated me He cracked a few jokes too And he immediately said that Im selected to next level Happy to hear those words,Number representations and computer  arithmetic
153,153,In this round basic question from java  sql queries and software models and testing were asked Questions will be quite basic  know only the basic concepts no need to go into too deep Study your project thoroughly as they will ask number of questions from there My interview was conducted for roughly 45 minutes  but its not necessary,Number representations and computer  arithmetic
154,154,In automata  there were 2 programs The program level was easy to moderate The programs like LCM  alternate numbers sort  half array ascending and half array descending sort  alternate number and star triangular pattern print etc I had done one program but passed only 710 test cases,Number representations and computer  arithmetic
155,155,In written test  there are 5 sections  each section have cutoff and minimum questions to be attempt They asked questions from aptitude simple interest  number series  quantities  train  speed  probability  etc  english grammar  reasoning  C and C programming as section wise and last section was easy,Number representations and computer  arithmetic
156,156,in GD we were 16 people and 7 cleared it  the topic was Indian villages are strength or weakness  if possible initiate it and pretend to listen others with your some good points without repetition after that was interview there were 2 women they asked,fixed and floating point
157,157,If men is fixed work is proportional to time If work is fixed  then time is inversely proportional to men therefore  M1T1W1M2T2W2 From the above formula ie m1t1w1m2t2w2 so 9688168d1 on solving  d99days,fixed and floating point
158,158,Which   refrigerants has the highest critical point temperature  Freon11,fixed and floating point
159,159,In   breakeven analysis  total cost consists of  Fixed cost  Variable cost,fixed and floating point
160,160,When an RC driving point impedance function has zeros at s 2 and s5 then the admissible poles for the function would be ,fixed and floating point
161,161,When an RC driving point impedance function has zeros at s 2 and s5 then the admissible poles for the function would be ,fixed and floating point
162,162,In GD dont worry just speak some relevant points confidently even if you are weak in communication skills or English Try to be a good listener and dont try to stop anybody from speakingMy gd topic was Oddeven system in Delhi There were some guys in my group who spoke confidently even though their communication skills were not good and still they were shortlisted for next round Last round will be easy if you are not from CSIT background Some very basic questions from your project  OOPS  Data structure will be asked So prepare them well Some typical HR questions like your strength  weakness  etc will be asked My interview duration was off about 3035 min And interviewer asked many questions from my project and 34 basic questions from data structures,fixed and floating point
163,163,how u intract with group  speak some good point  they gave chance to every one,fixed and floating point
164,164,In   a normalized floating point representation  mantissa is represented using 24   bits and exponent with 8 bits using signed representation What is range ,Number representations and computer  arithmetic
165,165,In our group  we were given a case study based on welfare organization in a populous state in east coast The organization wanted to improve the already existing web client server model There were 4 questions based on SDLC  Big bang implementation  etc The panel gave us 10 minutes to jot down some points on a piece of paper which they have provided and later on the GD started,fixed and floating point
166,166,In group discussion  youll have to make out your chance If you keep on looking at others faces youll lose your chance and theres no point in regretting thereafter As far as GD is concerned  you can talk on various random topics in front of your mirror or you can also form a group with your friends and you can practise that In group discussion  even if youre not able to come up with the best point  its ok All that you need to do is to speak Your confidence is what theyll look at,fixed and floating point
167,167,If a 28GHz processor is given  calculate the number of floating point calculations that it can do,Number representations and computer  arithmetic
168,168,In GD  15 groups were made comprising of 10 students in each My Topic was ARE WE BECOMING SLAVE OF TECHNOLOGY 5 students sitting on right have to say in FOR while we   the remaining 5 have to say in against 2 minutes were given to jot down the points after that all have to speak something what they think about the topic After that the discussion among us became and we were just searching for the chance to speak Remember guys  no body there will give you chance you have to search for it be a good listener and be polite dont take too many pauses and dont create fish market Just be confident and listen carefully to others,fixed and floating point
169,169,In a uniformly distributed load of 6nm over a 5 meter length simply supported beam  the value of BM at the point where shear force is zero 1752255575,fixed and floating point
170,170,In a uniformly distributed load of 6nm  over a 5 meter length simply supported beam  the value of BM at the point where shear  force is zero 1752255575,fixed and floating point
171,171,In my point of view exam was easy I had written very well also,fixed and floating point
172,172,In ROUND 3  i had to wait for my turn till 4 pm Both the rounds were scheduled on the same day I was asked everything related to computers At one point  I had to speak that for this interview I have prepared basics of C  electronics  a bit of networking as the company is based on networking but the HR told me she is not aware of electronics and again started asking me about computers,fixed and floating point
173,173,In group discussion we were allowed to select our own topic Here the person who speaks most relevant points were selected after GD we were also told to write an essay on topic of our choice the people who were selected in this round were called in their office where the further selection procedure took place,fixed and floating point
174,174,If you want to clear GD be discipline and dont be aggrassive and also put some points to prove your presence,fixed and floating point
175,175,If youre comfortable with QA section go for it right away Theres no point in loosing opportunity to gain marks to sitters out there waiting for your mercy And if you didnt pump in the usual amount of preparation for the exam Go for the technical section remember ECE and EEE dudes have the same question paper,fixed and floating point
176,176,If u want to initialise dont adict for a single point dissciss both advs and disadvs of the topic Maintain eye contact with the speaker its importent,fixed and floating point
177,177,If u want to initialise dont adict for a single point dissciss both advs and disadvs of the topicMaintain eye contact with the,fixed and floating point
178,178,can you tell my weakness that you found now he said i am weak in communication  and not focus on one particular area ie my thinking ability is not fixed,fixed and floating point
179,179,What is Function Point  Ans SW estimation technique,fixed and floating point
180,180,In this round they are conducting like personal interview for 1 to 2 mins thats it But the key point to be noted here is they are just checking your spontaneity and fluency you need not be that much fluent  just manage speaking for atleast 20 to 30 sec,fixed and floating point
181,181,In this you have to talk at least at least 2 times and our communication should be goodPut some valuble points rather than general one Always start as 3rd or 4th person if you are confident take the initative but be careful  dont give conclusion statements in the very first finally 4 were selected from our batch,fixed and floating point
182,182,In GD the instructions were given as of what stuff they are going to see The major concern was to stay on the topic without diverting it and speak out valid points without cutting others and communicating with confidence,fixed and floating point
183,183,In this there were to rounds in which a common GD on a topic and 2nd was speaking on anything interesting and worth sharing for 4045 secs The key here is to only talk in english and talk to the point and the topic chosen by you should be rich not common like cricket 8 Cleared the GD round,fixed and floating point
